,uid,years,minutes,sqrm,distance,renovate,express,price,predict
1057,13114-1400,14,2,20,7.768447716,0,0,24000000,26927622.03269314
1058,13114-1401,20,3,20,7.768447716,0,0,16000000,22578456.444127657
1059,13114-1402,19,2,45,7.768447716,0,0,28000000,42795462.43678261
1060,13114-1403,20,3,20,7.768447716,1,0,19000000,25883741.109277967
1061,13114-1412,44,4,25,7.768447716,0,0,12000000,11958148.23937355
1062,13114-1413,17,6,70,7.768447716,0,0,57000000,58489348.22821023
1063,13114-1414,50,1,55,7.768447716,0,0,29000000,34046771.57549988
1064,13114-1415,50,7,50,7.768447716,1,0,25000000,27528487.239923373
1065,13114-1416,3,1,70,7.768447716,0,0,80000000,71346036.69150212
1066,13114-1417,54,4,45,7.768447716,0,0,14000000,21318993.257819295
1067,13114-1420,7,2,50,7.768447716,0,0,54000000,53191456.34472312
1068,13114-1421,4,1,75,7.768447716,0,0,91000000,74519604.77232002
1069,13114-1422,50,1,70,7.768447716,1,0,54000000,48539474.13551678
1070,13114-1423,15,2,20,7.768447716,1,0,20000000,29677335.48037248
1071,13114-1426,8,1,55,7.768447716,0,0,60000000,57380762.70928068
1072,13114-1427,14,2,20,7.768447716,0,0,18000000,26927622.03269314
1073,13114-1428,8,9,70,7.768447716,0,0,69000000,60442274.334230006
1074,13114-1431,4,1,60,9.492733962,0,1,60000000,63332186.87745343
1075,13114-1432,16,8,70,9.492733962,0,1,60000000,57013442.878201894
1076,13114-1433,32,3,15,9.492733962,0,1,14000000,12182462.536187135
1077,13114-1434,15,4,20,9.492733962,0,1,21000000,24340574.247742854
1078,13114-1435,26,4,25,9.492733962,0,1,15000000,21958430.153851032
1079,13114-1436,13,5,40,9.492733962,0,1,41000000,39352535.59210059
1080,13114-1437,25,6,35,9.492733962,0,1,23000000,27940803.400420416
1081,13114-1438,37,0,25,9.492733962,0,1,14000000,19910099.89662898
1082,13114-1439,12,5,20,9.492733962,0,1,17000000,24991549.61641611
1083,13114-1445,13,2,35,9.492733962,1,1,34000000,41975895.81018102
1084,13114-1446,27,6,15,9.492733962,0,1,10000000,11913103.77232302
1085,13114-1447,17,6,20,9.492733962,0,1,22000000,21197955.245321594
1086,13114-1448,12,7,35,9.492733962,0,1,33000000,34147490.943803385
1087,13114-1449,21,3,20,9.492733962,0,1,21000000,22022885.226656683
1088,13114-1450,12,5,20,9.492733962,0,1,17000000,24991549.61641611
1089,13114-1451,15,4,20,9.492733962,0,1,22000000,24340574.247742854
1090,13114-1452,37,0,30,9.492733962,0,1,16000000,23639239.194917846
1091,13114-1453,15,4,20,9.492733962,0,1,17000000,24340574.247742854
1092,13114-1457,32,3,15,9.492733962,0,1,13000000,12182462.536187135
1093,13114-1458,12,7,20,9.492733962,0,1,19000000,22960073.04893679
1094,13114-1459,37,0,20,9.492733962,0,1,6000000,16180960.598340116
1095,13114-1460,16,2,65,9.492733962,0,1,48000000,59378733.28235098
1096,13114-1461,30,7,15,9.492733962,0,1,12000000,9230651.836170446
